D.Oficial,D.blue,D.Of+Imp,Fecha
281.0,550.5,519.85,2023-07-27T19:55:31.667584-03:00
282.0,548.5,521.7,2023-07-28T19:55:37.765434-03:00
283.0,547.5,523.5500000000001,2023-07-31T18:55:32.149388-03:00
283.0,547.5,523.5500000000001,2023-07-31T19:05:27.674588-03:00
283.0,547.5,523.5500000000001,2023-07-31T19:15:30.155123-03:00
283.0,547.5,523.5500000000001,2023-07-31T19:25:37.486644-03:00
283.0,547.5,523.5500000000001,2023-07-31T19:35:30.991471-03:00
287.0,571.5,530.95,2023-08-04T19:55:30.133939-03:00
290.0,593.5,536.5,2023-08-07T19:55:29.527313-03:00
