appid;name;Precios
2395510;Racing Tanks!;ARS$ 320,00
2395580;三国吞天传 幻想姬武神战记;ARS$ 550,00
2394770;Cabin of Souls;ARS$ 400,00
2394860;Castle Clicker Screensaver;ARS$ 82,00
2394980;Mystery Case Files: The Last Resort;ARS$ 550,00
2395080;Dream of Echo;ARS$ 400,00
2394330;Adventures of Ben: Rabbit Run;ARS$ 970,00
2394450;Frozen shelter;ARS$ 199,86
2394460;The Outer Rim;ARS$ 249,00
2394590;Just Survive;ARS$ 73,80
2394600;Last Day of Zombies;ARS$ 73,80
2394610;Destroy All Zombies;ARS$ 73,80
2394630;Cursed Fables: Twisted Tower;ARS$ 550,00
2394680;Rocket Jump Frenzy;ARS$ 700,00
2393900;无限之书：侠之章 Story Of Infinity: Xia;ARS$ 427,50
2393910;RuneLight;ARS$ 400,00
2394050;Noel the Mortal Fate Season Final Part 1;ARS$ 1.494,00
2394060;Tiling Towers;ARS$ 765,00
2394110;Dickland: Tower Defense;ARS$ 22,96
2394130;Let's Make a Potion;ARS$ 82,00
2394190;Kid Chaos;ARS$ 400,00
2393590;Blockade;ARS$ 249,00
2393610;One-armed cook: Ships and oceans;ARS$ 400,00
2393670;Magic Toenail;ARS$ 320,00
2392990;Trailblazer;ARS$ 400,00
2393050;Winterland;ARS$ 165,00
2393130;Spellarium;ARS$ 700,00
2393140;Slave of the Succubus;ARS$ 765,00
2392480;Monster Memory;ARS$ 82,00
2392490;Hazard Hill Idle;ARS$ 249,00
2392690;Medieval simulators: Baker;ARS$ 475,00
2391910;Gather;ARS$ 400,00
2392060;闲置显摆器;ARS$ 220,00
2392070;Bullet Time Battle;ARS$ 33,00
2392140;Eye of Saccharine;ARS$ 165,00
2392150;Jump Up, Jerry!;ARS$ 22,96
2392290;UP UP UP;ARS$ 99,00
2391420;Below the Surface:Uncovering the Truth in the Sewers;ARS$ 82,00
2391490;Sorcerer's mid-month exam;ARS$ 620,00
2391570;Battle For Cosmos;ARS$ 400,00
2391750;Tiny Elf;ARS$ 82,00
2391800;Square Brain;ARS$ 165,00
2391840;ネジ込みシミュレーターTMA01 たゆゆなメイドの限定裏配信 【巨乳メイドを強力ピストンバイブで連続アクメ調教】;ARS$ 1.056,00
2390940;Pempe;ARS$ 1.400,00
2391040;Teacher Certification Hell;ARS$ 600,00
2391050;Blaster Panic;ARS$ 165,00
2391080;Zone VX;ARS$ 320,00
2391100;Button VR Expeditions;ARS$ 400,00
2391140;Hotel Manibella;ARS$ 29,88
2390520;Trans Neuronica;ARS$ 765,00
2390580;Hyper Hentai Devil Hell;ARS$ 82,00
2390670;ASSASSIN: The First List;ARS$ 2.100,00
2390730;Knight Trail;ARS$ 400,00
2390750;Doppa;ARS$ 82,00
2390840;Zombie Defense;ARS$ 249,00
2390860;Mine;ARS$ 82,00
2390900;STIM;ARS$ 620,00
2389930;Ayase, the Sexy Archer;ARS$ 98,21
2390020;Press Axe;ARS$ 249,00
2390030;Dreamy Trail;ARS$ 165,00
2390070;Pocket Puzzle;ARS$ 320,00
2390220;Expel;ARS$ 400,00
2389490;Coin Chase;ARS$ 165,00
2389500;Skiing Frenzy;ARS$ 22,96
2389600;Tuya;ARS$ 165,00
2389700;My monstrous roommate.;ARS$ 82,00
2389800;Inferno Quest: Journey Through the Lava Cavern;ARS$ 249,00
2389890;City of Dusk;ARS$ 400,00
2388980;SHOVELBOY;ARS$ 22,96
1806400;Alpha Shark;ARS$ 475,00
1806420;Do U Copy?;ARS$ 39,99
1806430;Injoku Byoutou;ARS$ 3.000,00
1806440;Boomerang Woman;ARS$ 499,00
1806570;OtherSoul;ARS$ 53,99
1806580;Neon Bricks;ARS$ 26,99
1806630;Usagi Health Club;ARS$ 1.050,00
1806640;Mushroom Hunter;ARS$ 15,99
1805930;Pumpkin Eater;ARS$ 26,99
1805970;Comixxx Strip;ARS$ 165,00
1805980;Comixxx Jixxaw;ARS$ 165,00
1805990;External-Dimension: Mainframe;ARS$ 67,99
1806000;How To Bathe Your Cat: Drawing;ARS$ 13,99
1806030;Minimal Dungeon RPG;ARS$ 78,99
1806070;畢業生模擬器;ARS$ 399,99
1806090;House Sketcher 3D;ARS$ 1.400,00
1806120;Serena: Dark confessions;ARS$ 149,99
1806130;我就是要红;ARS$ 78,99
1805390;Follow the Black Kitten;ARS$ 13,99
1805450;地牢勇士-超级晋升礼包;ARS$ 67,99
1805460;地牢勇士-超级宠物礼包;ARS$ 78,99
1805480;Like a Dragon: Ishin!;ARS$ 7.999,00
1805490;问道仙途2;ARS$ 19,99
1805500;PURGE FORCE 2070;ARS$ 94,99
1805530;EscalationVR!;ARS$ 835,00
1805560;Huntress: The cursed Village;ARS$ 78,99
1805590;Sacred Valley;ARS$ 26,99
1805670;Cursed Island;ARS$ 114,99
1805680;A Contusion;ARS$ 94,99
1805720;Letters from the Moon;ARS$ 26,99
1805810;Winter Dream;ARS$ 39,99
1805040;Implements of Hell;ARS$ 67,99
1805050;LET IT DIE -(Special)10 Death Metals- 038;ARS$ 13,99
1805051;LET IT DIE -(Special)50 Death Metals- 035;ARS$ 129,99
1805053;LET IT DIE -(Special)10 Death Metals- 039;ARS$ 13,99
1805054;LET IT DIE -(Special)50 Death Metals- 036;ARS$ 129,99
1805056;LET IT DIE -(Special)100 Death Metals- 01;ARS$ 279,99
1805057;LET IT DIE -(Special)10 Death Metals- 040;ARS$ 13,99
1805058;LET IT DIE -(Special)50 Death Metals- 037;ARS$ 129,99
1805060;LET IT DIE -(Special)100 Death Metals- 02;ARS$ 279,99
1805061;LET IT DIE -(Year 6 Anniversary) 300 Death Metals-;ARS$ 5.100,00
1805070;Another Day in Paradise;ARS$ 179,99
1805100;Dark City: Paris Collector's Edition;ARS$ 129,99
1805140;ARAIGNEES;ARS$ 78,99
1805150;Five dreams;ARS$ 82,00
1805200;Shirone: the Dragon Girl;ARS$ 179,99
1805220;Comixxx Duality;ARS$ 165,00
1805230;A Distant Stabbing;ARS$ 104,99
1805240;Layer Section™ & Galactic Attack™ S-Tribute;ARS$ 3.299,00
1805250;Bikini Tits;ARS$ 1.268,00
1805260;Mommy-Goddess of Unconditional Love ~Wow, You Sure Gave It Your All Out There!~;ARS$ 1.268,00
1805270;TitTok Girls;ARS$ 26,99
1805340;Fantasy Sliding Puzzle 5;ARS$ 249,00
1804570;RED OPS ARCADE;ARS$ 39,99
1804600;Banzai Bat;ARS$ 53,99
1804610;Recollection;ARS$ 400,00
1804640;Autos;ARS$ 475,00
1804710;Spartan;ARS$ 129,99
1804720;Gates of Troy;ARS$ 129,99
1804740;Furry Hentai Jigsaw;ARS$ 165,00
1804820;Guide and Throw;ARS$ 249,00
1804870;Dungeon Masters;ARS$ 26,99
1804890;Turnament;ARS$ 620,00
1804900;Puzzlezon;ARS$ 26,99
1804270;Swordship;ARS$ 1.400,00
1804280;Jo-Jo Fighter;ARS$ 129,99
1804290;Circo:Dark Story;ARS$ 13,99
1804300;Patriots: Back to Civilization;ARS$ 129,99
1804320;Splash Jumper;ARS$ 13,99
1804340;Hentai Neko Mosaic!;ARS$ 249,00
1804360;Slot Idler;ARS$ 53,99
1804370;Airball;ARS$ 320,00
1804390;Key;ARS$ 13,99
1804420;Destruction of planets;ARS$ 26,99
1804440;Trails Of Gold Privateers;ARS$ 459,99
1804450;Kingdom of Maverta;ARS$ 26,99
1804500;Z-Collapse;ARS$ 159,99
1803720;Escape From Eternity;ARS$ 13,99
1803760;Windmills;ARS$ 1.050,00
