appid;name;Precios
2416860;All is Fair in Love and Vore: The Tavorion Collection;
2416880;Duck Life 9;
2416890;Eclipse Survivors;ARS$ 249,00
2416920;Groob;ARS$ 132,00
2416930;Where are you, Cinderella?;
2416960;Esylium MMORPG;
2416970;Vesna;
2417000;Hunter: The Reckoning — The Beast of Glenkildove;
2417060;Dojo Assault;ARS$ 82,00
2417090;Memoryland Prelude;ARS$ 620,00
2417100;Just Date;
2417130;Neoclip;
2417150;Smiling Girls;
2417180;Backroom: Constructions;
2417240;The Isolated Town;ARS$ 765,00
2417250;Mr.T Survival;ARS$ 765,00
2417270;Endless Apocalypse;
2417300;Sybil is Haunted;ARS$ 165,00
2416310;Fatal Twelve Memorial Illustration Book;ARS$ 1.400,00
2416350;Yard Sale Simulator;
2416370;Cruel Reality: A horrible dream;ARS$ 165,00
2416380;Juuden Youshuugi ~ Crimson Paraselene;
2416410;Tiny Dungeons;
2416450;Mouse;
2416460;Unknown Memoirs: The Rental;ARS$ 82,00
2416470;Bloody Doctor;
2416480;缘起;
2416510;Gundroid;
2416550;Morrok;ARS$ 970,00
2416600;Frightence;ARS$ 320,00
2416650;Night Stroll;
2416720;Quadrium 2;ARS$ 475,00
2416740;Dark Desire Mute 5;ARS$ 400,00
2416760;How To Build Your Igloo;
2416790;Old School RPG;
2415950;Pegafuerte el terrible;ARS$ 24,60
2415960;Femboy Aim Trainer;ARS$ 82,00
2415980;Dream Job : Delivery Simulator;ARS$ 765,00
2416000;Blind Fishes;ARS$ 82,00
2416060;The Last Frontier;
2416070;Shattered: Dedicated Server;
2416140;萌动魔盒;
2416150;Zombie Ants VR;
2416190;いちまさん;
2416250;Chronautical;ARS$ 400,00
2416260;Sujeto 124: El hombre de traje;ARS$ 170,00
2415390;$pooples;ARS$ 320,00
2415430;DRAFTYCAR;ARS$ 550,00
2415450;FIGHT FOR YOUR RESURRECTION VR;ARS$ 320,00
2415480;Dungeon And Darkness;
2415500;Black Finger JET;
2415520;Toilet paper simulator;
2415530;Dungeon's Anima;
2415540;The Paradixion: Son's Room;ARS$ 249,00
2415640;Cargo delivery;ARS$ 2.100,00
2415660;Raventure;ARS$ 2.100,00
2415670;Tutenstone;ARS$ 2.100,00
2415680;Wholesome: Heartdrawn;N/A
2415720;Welcome To... Chichester OVN Omnibus Edition;ARS$ 400,00
2415770;Flyto;ARS$ 1.400,00
2414900;Soulknight;N/A
2414920;No zombie land: Lucy;ARS$ 165,00
2414950;Bus Simulator 23;ARS$ 165,00
2415000;BLACK OUT;N/A
2415010;A Date with Death;N/A
2415030;Crimson Hollow;N/A
2415050;Neve;N/A
2415120;Abstract Driver;ARS$ 76,50
2415180;Cute Puzzles!!!;ARS$ 82,00
2415240;Leaving DNA;N/A
2415320;Insect Wars;N/A
2414410;Tri City Monsters;N/A
2414450;Prophecy Island;N/A
2414470;Way of the Punch;N/A
2414480;Lost Isle Dedicated Server;N/A
2414500;Limos' Lair;N/A
2414520;The Lunar World Experience;N/A
2414530;Phanotia: Interlude I-Aubzan Abbey;N/A
2414550;MADiSON VR;N/A
2414580;Power Champions;N/A
2414630;Hollow Cocoon;N/A
2414640;Bite Size Terrors: Erobos Heaven;N/A
2414650;Tower of the Mad Wizard;N/A
2414660;Oblium;N/A
2414690;Saint Hell;ARS$ 22,96
2414710;Bee-Man;N/A
2414730;Elf of Era! Idols Project;N/A
2414740;SUNSET SURVIVAL STATION;N/A
2414750;风岬-The Everlasting lovestory at the Windcap;N/A
2414760;∀stralbringer -蓋影のアーカリウム-体験版;N/A
2414790;Food Magician;N/A
2414800;ガチムチお兄さんのドスケベ♥特濃フェラASMR;ARS$ 765,00
2414810;VT Harmony;ARS$ 550,00
2413930;Cream Soda Club;N/A
2413960;Dark;N/A
2413980;DCS: F/A-18C Flaming Sunrise Campaign by Sandman Simulations;ARS$ 2.470,67
2414020;The picture of  Cafe au lait;N/A
2414110;Builderment;N/A
2414190;You Must Become A Lich;N/A
2414210;Text Twist Classic;ARS$ 400,00
2414240;A CRAZY GUY;ARS$ 620,00
2414260;Athena's Revenge;N/A
2414300;The Road to Aeria;N/A
2414320;Veil of Darkness;
2414330;The Soulwalkers;
2414340;Star General;
2414350;The Summoning;
2414360;Dark Legions;
2413410;Kam Thunder;
2413450;Mortified;
2413470;Knights of the Throne;
2413480;Through the Mist;
2413490;Crown of Light;
2413500;The Last Seal;
2413510;A Heroine Story;
2413570;The Necromancer Arises;
2413620;Pogo3D;
2413640;Countless Army;
2413660;Bucket Brawl: Ahlman Edition;
2413690;Uncaptive;
2413710;Insanias;
2413720;Date with Foxgirl;
2413750;Poly Jigsaw: Dogs;
2413820;拯救安娜行动;
2413840;Cute Сapybaras;
2413860;TOBI Path of Truth;
2413060;Pallet;
2413080;Project CarnEvil;
2413090;Oppai Samurai: Knocked up by a No Name Novice;
2413140;Titor's Time Traveling Tale;
2413160;Symphony of Souls;
2413220;Exterminators of Saturn;
2413230;Liminal Space;
2413300;Tsukichi Chronicles;
2413310;J-Town: A Visual Novel;
2413330;Caved-in;
2413340;Ketamina;
2413370;Cavemen: The Rise of Tribe;
2412590;Return to Abyss-Multidimensional Gift;
2412600;Himiko's Quest;
2412640;Another day;
2412650;The Severn Rising 2222;
2412700;It Is Ticking;
2412710;Royal Romances: The Power of Chosen One Collector's Edition;
2412730;Biomech Hell;
2412780;Bounda Forever;
2412810;Forty Foes;
2412850;Hot Worlds;
2412880;Tavern of Empire;
2412960;Breathedge 2;
2413000;Magic Cube 4D VR;
2413030;Golf with the Lads;
2413040;Jets A Blazin;
2413050;Retrowave World;
2412120;Corporate Lockdown;
2412140;Sex with Maids;
2412150;Furry Milfs;
2412160;Bîme;
2412170;Crazy The Clown's Balloon Animal Massacre;
2412200;Devil Reef;
2412240;Bubble Ghost Remake;
2412250;Europa Universalis IV: China History Lessons;
2412251;Europa Universalis IV: Japan History Lessons;
2412290;Horror Amusement Park;
2412300;Number 1!;
2412310;Burder;
2412410;Disco Simulator: Prologue;
2412420;Star Defense;
2412460;Mankind's Last Stand;
2412580;Spirit Samurai;
2411660;Magic Machine Gun;
2411670;Holy Ship;
2411730;Lord Privateer;
2411830;Yunoia;
2411850;Ragdoll Destroyer;
2411870;ZombieWave FM;
2411880;SYSTEMCRASH92;
2411910;嘣境回收战;
2411920;Calmed by the Dark Shin Neon;
2411950;迷宫坦克大战;
2411960;平安果;
2411970;Bumpy Grumpy;
2411980;AMEDAMA;
2412000;One-Thousand Cuts;
2412010;Konike;
2412050;No Ghost in Sky Elevator;
2412080;Instant Frame Mockup;
2412090;Total Reload;
2412100;Puzzle Game: Miko;
2412110;Rogue Labyrinth;
2411210;Mop of the Dead;
2411230;Victoria 3: Dawn of Wonder;
2411231;Victoria 3: Sphere of Influence;
2411240;You Will Die!;
2411250;The Warrior;
2411310;Card RPG Orphan;
2411320;Noroi E: The Origin of Nightmares;
2411340;Magehunter: Phoenix Flame;
2411380;Double Detective;
2411390;Top Villain: Total Domination;
2411410;Meteorite Miner;
2411430;不和我推谈恋爱就会死？！;
2411510;ABYSSAL;
2411530;Type King;
2411620;Hoop City Manager;
2410690;The Cursed Amulet;
2410700;Isop0dyssey;
2410750;Chronicles of Vipers;
2410760;GGST Guilty Gear 25th Anniversary Appreciation Color;
2410761;GGST Guilty Gear 25th Anniversary Colors;
2410780;Goblin Conqueror;
2410800;The Time Plague;
2410810;Riversiders;
2410850;Stellar Serenity;
2410860;The Truth;
2410900;Time Raiders;
2410930;Grouphack;
2410940;Der Pfad des Pinguins;
2410980;CorpoNation: The Prologue;
2411050;Sinkhole;
2411100;Mind Control: Bloody Renaissance;
2411110;BiOSmose;
2411120;Samurai VR;
2411140;Linia Super;
2410260;Death Rabbit Arena;
2410310;Battle of Zama;
2410320;ExoSoul;
2410360;Mirth Island;
2410390;Pandora's Box;
2410420;KIDNEY STONE Clicker;
2410440;Lost Colony;
2410460;Mossasis 苔蘚綠洲;
2410480;Magic Charge Duet;
2410500;险恶游戏（Sinister Games）;
2410590;Dunk Dunk;
2410610;Bewitched Balls;
2410620;Thirty Years Later;
2410630;QUESTER  オリジナルサウンドトラック（FM音源風Ver.）;
2410640;Shark! Shark!;
2410650;QUESTER コンセプトガイドブック・初版;
2409790;Shattered Legacy;
2409810;Blood Gazm;
2409840;Hidden Bunny;
2409850;Cubic Figures;
2409920;Home: A Story of Light;
2409990;Sayfield Defense;
2410030;Vinebound: Bloom & Boom;
2410050;Novus Conquest;
2410080;The Dusk Alliance;
2410110;Timeshift;
2410130;GateTail;
2410140;The Adventures of Beanman;
2410150;Blackheart;
2410170;无名者：屠龙;
2410190;Easy Mahjong;
2410200;The Maze;
2410230;Hero's Quest: Lost Memories;
2409360;Pixel Cafe;
2409390;Wheelie Life;
2409400;Check The Room 13;
2409430;Ominous Stew;
2409440;dedicated servers;
2409450;Garden of Pizzlerat;
2409490;Blue Man Adventure;
2409570;Вий: Визуальная новелла;
2409640;Need for Drifting;
2409670;Bounty Hunting Time;
2409680; КОСМО АЗС;
2409690;Kingmaker Academy: Warrior's Duels;
2409700;The Source;
2408830;CUSTOM ORDER MAID 3D2 Guarded, Blunt Girl GP-01;
2408870;Hex Strikers;
2408880;Hunting The Hunter;
2408910;CUSTOM ORDER MAID 3D2 Guarded, Blunt Girl GP-01fb;
2408920;森林之子;
2409000;Marine Glory;
